State,Under 5 Years,5 to 13 Years,14 to 17 Years
AL,310504,552339,259034
AK,52083,85640,42153
AZ,515910,828669,362642
AR,202070,343207,157204
CA,2704659,4499890,2159981
CO,358280,587154,261701
CT,211637,403658,196918
DE,59319,99496,47414
DC,36352,50439,25225
FL,1140516,1938695,925060
GA,740521,1250460,557860
HI,87207,134025,64011
ID,121746,201192,89702
IL,894368,1558919,725973
IN,443089,780199,361393
IA,201321,345409,165883
KS,202529,342134,155822
KY,284601,493536,229927
LA,310716,542341,254916
ME,71459,133656,69752
MD,371787,651923,316873
MA,383568,701752,341713
MI,625526,1179503,585169
